iter	Passed	Remaining
657	1082	562
658	1084	561
659	1086	559
660	1087	557
661	1089	556
662	1091	554
663	1093	553
664	1094	551
665	1096	550
666	1098	548
667	1100	546
668	1102	545
669	1103	543
670	1105	541
671	1107	540
672	1108	538
673	1110	537
674	1112	535
675	1114	534
676	1115	532
677	1117	530
678	1119	529
679	1120	527
680	1122	525
681	1124	524
682	1125	522
683	1127	521
684	1129	519
685	1131	517
686	1133	516
687	1135	514
688	1137	513
689	1138	511
690	1140	509
691	1142	508
692	1143	506
693	1145	505
694	1147	503
695	1149	501
696	1150	500
697	1152	498
698	1154	497
699	1156	495
700	1157	493
701	1159	492
702	1161	490
703	1163	488
704	1164	487
705	1166	485
706	1168	484
707	1169	482
708	1171	480
709	1173	479
710	1175	477
711	1176	476
712	1178	474
713	1180	472
714	1182	471
715	1183	469
716	1185	467
717	1187	466
718	1189	464
719	1190	463
720	1192	461
721	1194	459
722	1195	458
723	1197	456
724	1199	454
725	1200	453
726	1202	451
727	1204	449
728	1206	448
729	1207	446
730	1209	445
731	1211	443
732	1212	441
733	1214	440
734	1216	438
735	1217	436
736	1219	435
737	1221	433
738	1223	431
739	1224	430
740	1226	428
741	1228	427
742	1229	425
743	1231	423
744	1233	422
745	1234	420
746	1236	418
747	1238	417
748	1239	415
749	1241	413
750	1243	412
751	1245	410
752	1246	408
753	1248	407
754	1250	405
755	1251	404
756	1253	402
757	1255	400
758	1257	399
759	1258	397
760	1260	395
761	1262	394
762	1264	392
763	1265	391
764	1267	389
765	1269	387
766	1270	386
767	1272	384
768	1274	382
769	1276	381
770	1278	379
771	1279	377
772	1281	376
773	1283	374
774	1284	373
775	1286	371
776	1288	369
777	1290	368
778	1291	366
779	1293	364
780	1295	363
781	1297	361
782	1298	359
783	1300	358
784	1302	356
785	1303	354
786	1305	353
787	1307	351
788	1309	350
789	1310	348
790	1312	346
791	1314	345
792	1315	343
793	1317	341
794	1319	340
795	1321	338
796	1322	336
797	1324	335
798	1325	333
799	1327	331
800	1329	330
801	1331	328
802	1332	327
803	1334	325
804	1336	323
805	1337	322
806	1339	320
807	1341	318
808	1343	317
809	1344	315
810	1346	313
811	1348	312
812	1349	310
813	1351	308
814	1353	307
815	1355	305
816	1356	303
817	1358	302
818	1360	300
819	1361	298
820	1363	297
821	1365	295
822	1366	293
823	1368	292
824	1370	290
825	1372	289
826	1374	287
827	1376	285
828	1377	284
829	1379	282
830	1381	280
831	1382	279
832	1384	277
833	1386	275
834	1388	274
835	1389	272
836	1391	270
837	1393	269
838	1394	267
839	1396	266
840	1398	264
841	1400	262
842	1401	261
843	1403	259
844	1405	257
845	1407	256
846	1408	254
847	1410	252
848	1412	251
849	1413	249
850	1415	247
851	1417	246
852	1418	244
